"","CLAVE_MUNICIPIO","MUNICIPIO","CLAVE_ENTIDAD","id","x","lat","lon","nom_ent","estado_acronimo"
"1",1,"AGUASCALIENTES",1,"AGUASCALIENTES","1 1",21.81144,-102.2958,"AGUASCALIENTES","AS"
"2",2,"ASIENTOS",1,"ASIENTOS","1 2",22.12651,-102.04564,"AGUASCALIENTES","AS"
"3",3,"CALVILLO",1,"CALVILLO","1 3",21.90069,-102.7049,"AGUASCALIENTES","AS"
"4",4,"COSÍO",1,"COSÍO","1 4",22.36063,-102.29704,"AGUASCALIENTES","AS"
"5",5,"JESÚS MARÍA",1,"JESÚS MARÍA","1 5",21.93212,-102.44565,"AGUASCALIENTES","AS"
"6",6,"PABELLÓN DE ARTEAGA",1,"PABELLÓN DE ARTEAGA","1 6",22.10454,-102.30168,"AGUASCALIENTES","AS"
"7",7,"RINCÓN DE ROMOS",1,"RINCÓN DE ROMOS","1 7",22.26741,-102.34073,"AGUASCALIENTES","AS"
"8",8,"SAN JOSÉ DE GRACIA",1,"SAN JOSÉ DE GRACIA","1 8",22.14663,-102.52584,"AGUASCALIENTES","AS"
"9",9,"TEPEZALÁ",1,"TEPEZALÁ","1 9",22.23697,-102.19213,"AGUASCALIENTES","AS"
"10",10,"EL LLANO",1,"EL LLANO","1 10",21.92152,-102.0354,"AGUASCALIENTES","AS"
"11",11,"SAN FRANCISCO DE LOS ROMO",1,"SAN FRANCISCO DE LOS ROMO","1 11",22.03307,-102.22902,"AGUASCALIENTES","AS"
"12",999,"NO ESPECIFICADO",1,"NO ESPECIFICADO","1 999",NA,NA,"AGUASCALIENTES","AS"
"13",1,"ENSENADA",2,"ENSENADA","2 1",30.03617,-114.95854,"BAJA CALIFORNIA","BC"
"14",2,"MEXICALI",2,"MEXICALI","2 2",31.73902,-115.1641,"BAJA CALIFORNIA","BC"
"15",3,"TECATE",2,"TECATE","2 3",32.44089,-116.26898,"BAJA CALIFORNIA","BC"
"16",4,"TIJUANA",2,"TIJUANA","2 4",32.40406,-116.81983,"BAJA CALIFORNIA","BC"
"17",5,"PLAYAS DE ROSARITO",2,"PLAYAS DE ROSARITO","2 5",32.25294,-116.89074,"BAJA CALIFORNIA","BC"
"18",999,"NO ESPECIFICADO",2,"NO ESPECIFICADO","2 999",NA,NA,"BAJA CALIFORNIA","BC"
"19",1,"COMONDÚ",3,"COMONDÚ","3 1",25.49135,-111.82007,"BAJA CALIFORNIA SUR","BS"
"20",2,"MULEGÉ",3,"MULEGÉ","3 2",27.28608,-113.23073,"BAJA CALIFORNIA SUR","BS"
"21",3,"LA PAZ",3,"LA PAZ","3 3",24.19047,-110.66331,"BAJA CALIFORNIA SUR","BS"
"22",8,"LOS CABOS",3,"LOS CABOS","3 8",23.27661,-109.75328,"BAJA CALIFORNIA SUR","BS"
"23",9,"LORETO",3,"LORETO","3 9",25.95317,-111.44849,"BAJA CALIFORNIA SUR","BS"
"24",999,"NO ESPECIFICADO",3,"NO ESPECIFICADO","3 999",NA,NA,"BAJA CALIFORNIA SUR","BS"
"25",1,"CALKINÍ",4,"CALKINÍ","4 1",20.38439,-90.21803,"CAMPECHE","CC"
"26",2,"CAMPECHE",4,"CAMPECHE","4 2",19.61701,-90.26764,"CAMPECHE","CC"
"27",3,"CARMEN",4,"CARMEN","4 3",18.52404,-91.48323,"CAMPECHE","CC"
"28",4,"CHAMPOTÓN",4,"CHAMPOTÓN","4 4",19.13421,-90.49932,"CAMPECHE","CC"
"29",5,"HECELCHAKÁN",4,"HECELCHAKÁN","4 5",20.12444,-90.13542,"CAMPECHE","CC"
"30",6,"HOPELCHÉN",4,"HOPELCHÉN","4 6",19.47407,-89.60964,"CAMPECHE","CC"
"31",7,"PALIZADA",4,"PALIZADA","4 7",18.2736,-91.97387,"CAMPECHE","CC"
"32",8,"TENABO",4,"TENABO","4 8",19.96964,-90.23302,"CAMPECHE","CC"
"33",9,"ESCÁRCEGA",4,"ESCÁRCEGA","4 9",18.5506,-90.47435,"CAMPECHE","CC"
"34",10,"CALAKMUL",4,"CALAKMUL","4 10",18.40283,-89.66157,"CAMPECHE","CC"
"35",11,"CANDELARIA",4,"CANDELARIA","4 11",18.09904,-90.71656,"CAMPECHE","CC"
"36",999,"NO ESPECIFICADO",4,"NO ESPECIFICADO","4 999",NA,NA,"CAMPECHE","CC"
"37",1,"ABASOLO",5,"ABASOLO","5 1",27.12239,-101.24578,"COAHUILA DE ZARAGOZA","CL"
"38",2,"ACUÑA",5,"ACUÑA","5 2",29.4326,-102.01003,"COAHUILA DE ZARAGOZA","CL"
"39",3,"ALLENDE",5,"ALLENDE","5 3",28.27835,-100.916,"COAHUILA DE ZARAGOZA","CL"
"40",4,"ARTEAGA",5,"ARTEAGA","5 4",25.34136,-100.64237,"COAHUILA DE ZARAGOZA","CL"
"41",5,"CANDELA",5,"CANDELA","5 5",26.85245,-100.79925,"COAHUILA DE ZARAGOZA","CL"
"42",6,"CASTAÑOS",5,"CASTAÑOS","5 6",26.58624,-101.38693,"COAHUILA DE ZARAGOZA","CL"
"43",7,"CUATRO CIÉNEGAS",5,"CUATRO CIÉNEGAS","5 7",26.6991,-102.29898,"COAHUILA DE ZARAGOZA","CL"
"44",8,"ESCOBEDO",5,"ESCOBEDO","5 8",27.30607,-101.27959,"COAHUILA DE ZARAGOZA","CL"
"45",9,"FRANCISCO I. MADERO",5,"FRANCISCO I. MADERO","5 9",26.32015,-103.18086,"COAHUILA DE ZARAGOZA","CL"
"46",10,"FRONTERA",5,"FRONTERA","5 10",26.9477,-101.52827,"COAHUILA DE ZARAGOZA","CL"
"47",11,"GENERAL CEPEDA",5,"GENERAL CEPEDA","5 11",25.52169,-101.55104,"COAHUILA DE ZARAGOZA","CL"
"48",12,"GUERRERO",5,"GUERRERO","5 12",28.09741,-100.39379,"COAHUILA DE ZARAGOZA","CL"
"49",13,"HIDALGO",5,"HIDALGO","5 13",27.83932,-100.0505,"COAHUILA DE ZARAGOZA","CL"
"50",14,"JIMÉNEZ",5,"JIMÉNEZ","5 14",29.0027,-100.95126,"COAHUILA DE ZARAGOZA","CL"
"51",15,"JUÁREZ",5,"JUÁREZ","5 15",27.65655,-100.69338,"COAHUILA DE ZARAGOZA","CL"
"52",16,"LAMADRID",5,"LAMADRID","5 16",27.15055,-101.91372,"COAHUILA DE ZARAGOZA","CL"
"53",17,"MATAMOROS",5,"MATAMOROS","5 17",25.55982,-103.21506,"COAHUILA DE ZARAGOZA","CL"
"54",18,"MONCLOVA",5,"MONCLOVA","5 18",26.89686,-101.19439,"COAHUILA DE ZARAGOZA","CL"
"55",19,"MORELOS",5,"MORELOS","5 19",28.32775,-101.08335,"COAHUILA DE ZARAGOZA","CL"
"56",20,"MÚZQUIZ",5,"MÚZQUIZ","5 20",28.40302,-101.90047,"COAHUILA DE ZARAGOZA","CL"
"57",21,"NADADORES",5,"NADADORES","5 21",27.22773,-101.76543,"COAHUILA DE ZARAGOZA","CL"
"58",22,"NAVA",5,"NAVA","5 22",28.49644,-100.62049,"COAHUILA DE ZARAGOZA","CL"
"59",23,"OCAMPO",5,"OCAMPO","5 23",27.96562,-102.89289,"COAHUILA DE ZARAGOZA","CL"
